"PESSI_schools","Address","BM1","Address_BM1","BM2","Address_BM2","BM3","Address_BM3","BM4","Address_BM4","BM5","Address_BM5"
"JINNAH MODEL SCHOOL","J BLOCK BUREWALA","JINNAH MODEL BOYS SCHOOL","132 P BLOCK BUREWALA","JINNAH MODEL SCHOOL  AZEEM ABAD","441 E/B AZEEM ABAD BUREWALA","JINNAH MODEL GIRLS HIGH SCHOOL","21-P BLOCK BUREWALA DISTT VEHARI","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA"
"TABINDA MODEL HIGH SCHOOL","G BLOCK BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","PAINDA MODEL SCHOOL","HOUSE NO 94 BLOCK N","TABINDA MODEL PRIMARY SCHOOL","GULSHAN-E-REHMAN TEHSIL BUREWALA DISTRICT VEHARI","TABINDAH MODEL HIGHER SECONDARY SCHOOL","9-C BLOCK BUREWAL","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala"
"CRESENT MODEL HIGH SCHOOL","SATLIGHT TOWN BUREWALA","CRESCENT MODEL SCHOOL","153 SATELLITE TOWN BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala","ZAIN MODEL HIGH SCHOOL 52/KB","CHAK NO 52/KB","THE CRESCENT MODEL SCHOOL","MOR MURAD ALI"
"SIR SYED MODEL SCHOOL","MUJAHID COLONY BUREWALA","SIR SYED MODEL SCHOOL YOUSIF BLOCK","YOUSAF BLOCK STREET .3","AHMAD MODEL SCHOOL","CHAK NO. 50/KB","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA"
"CITY PUBLIC HIGH SCHOOL","E BLOCK BUREWALA","CITY PUBLIC SCHOOL","MUSHARAF TOWN BUREWALA","TESS PUBLIC HIGH SCHOOL","94-I SATELLITE TOWN BUREWALA","GLOBAL PUBLIC HIGH SCHOOL","NEELI BAR CITY TEHSIL BUREWALA DISTRICT VEHARI","NEW MUSLIM PUBLIC HIGH SCHOOL","STREET NO. 1 SHAH FAIZ COLONY BUREWALA","AL HERMAIN PUBLIC HIGH SCHOOL","MUHAMMAD NAGAR"
"SIR SYED MODEL SCHOOL","YOUSIF BLOCK BUREWALA","SIR SYED MODEL SCHOOL YOUSIF BLOCK","YOUSAF BLOCK STREET .3","AHMAD MODEL SCHOOL","CHAK NO. 50/KB","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA"
"PAKISTAN PUBLIC SCHOOL","GAGGU MANDI BUREWALA","PAKISTAN PUBLIC SCHOOL","X-BLOCK TEHSIL BUREWALA DISTRICT VEHARI","PAKISTAN PUBLIC SCHOOL","CHAK NO. 134/EB BUREWALA","PAKISTAN PUBLIC SCHOOL","X-BLOCK TEHSIL BUREWALA DISTRICT VEHARI","PAKISTAN PUBLIC SCHOOL","CHAK NO. 134/EB BUREWALA","MEZAN PUBLIC SCHOOL","CHAK NO. 405/EB BUREWALA DISTT: VEHARI"
"TABINDA MODEL HIGH SCHOOL","GULSHAN REHMAN BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","PAINDA MODEL SCHOOL","HOUSE NO 94 BLOCK N","TABINDA MODEL PRIMARY SCHOOL","GULSHAN-E-REHMAN TEHSIL BUREWALA DISTRICT VEHARI","TABINDAH MODEL HIGHER SECONDARY SCHOOL","9-C BLOCK BUREWAL","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala"
"THE CITY SCHOOL","MULTAN ROAD BUREWALA","CITY PUBLIC SCHOOL","MUSHARAF TOWN BUREWALA","THE SMART SCHOOL","TC BLOCK BUREWALA","THE RIGHT SCHOOL","14- NEW MODEL TOWN","NFBE SCHOOL","CHAK NO. 431/EB BASTI ALLAH WALI BUREWALA DISTT VEHARI","THE GRAMMER SCHOOL","Y-20 BLOCK TEHSIL BUREWALA DISTRICT VEHARI"
"THE CITYZEN FOUNDATION SCHOOL.","BUREWALA","THE CITIZENS FOUNDATION","CHAK NO. 373/EB BUREWALA DISTRICT VEHARI","FOUNDATION MIDDLE SCHOOL 365 EB","CHOWK SHAH JUNAID 365/EB","NATIONAL EDUCATION FOUNDATION","SHAMSHAD MASJID AZIZ ABAD BUREWALA","NATIONAL EDUCATION FOUNDATION MADINA COLONY","STREET NO. 4 MADINA COLONY BUREWALA","THE CONFIDE SCHOOL OF EDUCATION","SHAH FAISAL COLONY BUREWALA"
"ALLIED SCHOOL.","CANAL ROAD BUREWALA","ALLIED SCHOOL JAMLERA ADDA","ADDA JAMLERA BUREWALA","ALLIED SCHOOL CHONGI 5 BUREWALA","CHONGI NO.5 CHAK 505-E ROAD","ALLIED SCHOOLS CANAL CAMPUS","NEHAR WALA BANGLA BUREWALA","NFBE SCHOOL","CHAK NO. 431/EB BASTI ALLAH WALI BUREWALA DISTT VEHARI","ALLIED GRAMMAR SCHOOL ADA KHAIR WALA 469/EB","CHAK NO. 469/EB BUREWALA"
"THE EDUCATORS","COLLEGE ROAD BUREWALA","THE EDUCATORS","MAIN CANAL ROAD WARRATCH TOWN BUREWALA","THE EDUCATORS BUREWALA CAMPUS","8/C LINK COLONY ROAD BUURE WALA","THE NEW EDUCATORS SCHOOL","CHAK NO. 136/EB BUREWALA","THE CONFIDE SCHOOL OF EDUCATION","SHAH FAISAL COLONY BUREWALA","THE MUSLIM EDUCATION SYSTEM 307 EB","CHAK NO. 307/E.B TEHSIL BUREWALA DISTRICT VEHARI"
"DAR-E-IRQAM SCHOOL","CHICHAWATNI ROAD BUREWALA","DAR- E- ARQAM SCHOOLS","AZEEM ABAD BUREWALA","DAR E ARQAM SCHOOL SAHUKA CAMPUS","SAHUKA","NFBE SCHOOL","CHAK NO. 431/EB BASTI ALLAH WALI BUREWALA DISTT VEHARI","DAR- US- SALAM MODEL SCHOOL","CHAK NO. 120/EB BUREWALA","AL HARAM SCHOOL SYSTEM GAGGOO","QADRIA COLONY GAGGO"
"THE SPRIT SCHOOL","GULSHAN REHMAN BUREWALA","THE SMART SCHOOL","TC BLOCK BUREWALA","THE SPIRIT SCHOOL FOR GIRLS","GULSHAN-E-REHMAN BUREWALA","THE RIGHT SCHOOL","14- NEW MODEL TOWN","NFBE SCHOOL","CHAK NO. 431/EB BASTI ALLAH WALI BUREWALA DISTT VEHARI","THE SPIRIT SCHOOL GUSHAN E REHMAN FOR BOYS","GULSHAN-E-REHMAN BUREWALA"
"CRESENT MODEL HIGH SCHOOL","21-I BLOCK BUREWALA","CRESCENT MODEL SCHOOL","153 SATELLITE TOWN BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala","ZAIN MODEL HIGH SCHOOL 52/KB","CHAK NO 52/KB","THE CRESCENT MODEL SCHOOL","MOR MURAD ALI"
"CRESENT MODEL GIRLS HIGH SCHOOL","94-I BLOCK BUREWALA","JINNAH MODEL GIRLS HIGH SCHOOL","21-P BLOCK BUREWALA DISTT VEHARI","TEHZEEB MODEL GIRLS HIGH SCHOOL","131 P BLOCK BUREWALA","SAQIB MODEL GIRLS HIGH SCHOOL 457/EB","CHAK 457/EB","BILAL MODEL GIRLS HIGH SCHOOL 495/EB","CHAK NO. 495/EB BUREWALA","KOUSAR MAJEED MODEL GIRLS HIGH SCHOOL","CHAK NO. 203/EB MERA MORE TEHSIL BUREWALA DISTT VEHARI"
"CRESENT MODEL BOYS HIGH SCHOOL","94-I BLOCK BUREWALA","CRESCENT MODEL SCHOOL","153 SATELLITE TOWN BUREWALA","JINNAH MODEL BOYS SCHOOL","132 P BLOCK BUREWALA","THE CRESCENT MODEL SCHOOL","MOR MURAD ALI","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","JINNAH MODEL GIRLS HIGH SCHOOL","21-P BLOCK BUREWALA DISTT VEHARI"
"LAHORE GRAMMER SCHOOL","MULTAN ROAD BUREWALA","THE GRAMMER SCHOOL","Y-20 BLOCK TEHSIL BUREWALA DISTRICT VEHARI","LAHORE GRAMMAR ENTERPRISE SCHOOL SYSTEM","BUILDING NO. 7, CHONGI NO. 5 MULTAN ROAD, TEHSIL BUREWALA DISTRICT VEHARI","BUREWALA  GRAMMER  SCHOOL","ILYAS GARDEN BUREWALA","MULTAN GRAMMER SCHOOL BUREWALA","160 SATELLITE TOWN BUREWALA","BRILLIANT GRAMMAR SCHOOL 505/EB","CHAK NO. 515/EB"
"JAHANIA PUBLIC SCHOOL","JAHANIAN","NEW JAHANIAN PUBLIC SCHOOL","CHAK NO 110/10R","ALI PUBLIC SCHOOL","117/10R","AHSAN PUBLIC SCHOOL","ATA TOWN JAHANIAN","RARE PUBLIC SCHOOL","CHAK NO 95/CO","UNIQUE PUBLIC SCHOOL","CHAK NO 140/10.R"
"MARINE PUBLIC SCHOOL","BY PASS ROAD","SUNSHINE PUBLIC SCHOOL","KANAL ROAD KABIRWALA","STAR PUBLIC SCHOOL","PULL HAVELI KORANAGA TEH , KABIR WALA","NOOR PUBLIC SCHOOL","BASI HAVELI KORANGA TEH, KABIR WALA","CITY PUBLIC SCHOOL","NEAR SABZ MANDI JHANG ROAD","UMER PUBLIC SCHOOL","BASTI KUKHARI ABAD MOONGI"
"BRITISH INTERNATIONAL","BY PASS ROAD","NATIONAL PUBLIC SCHOOL","P/O SARAI SIDHU","BRITISH SCHOOL SYSTEM","HOUSE NO 1 MAIN JHANG ROAD  KABIRWALA","DAR-E-ALL EDUCATIONAL SYSTEM DIN PUR","P/O DIN PUR","GOV'T SPECIAL EDUCATION CENTER","THANG ROAD KABIR WALA","IMRAN EDUCATION ENGLISH MIDDLE SCHOOL","ABDUL HAKIM"
"THE EDUCATORS","KHANEWAL ROAD","THE EDUCATORS","RAWALPINDI","THE EDUCATOR  SCHOOL","CHOPER HATTA","THE EDUCATORS (AL-FURQAN CAMPUS)","JHANG ROAD KABIR WALA","THE GHANI EDUCATORS SCHOOL CHAH PEER WALA","B-PEERWALA","PARADISE EDUCATION VALLEY","BASTI SYDAN JHANG ROAD"
"GARRISION SCHOOL","KHANEWAL ROAD","GARRISON SCHOOL SYSTEM","NEAR BADLA OFFICE KABIR WALA","THE VISION SCHOOL SYSTEM","JAMIL COLONY KABIRWALA","THE VISION SCHOOL SYSTEM","`PUL VENOIE KABIR WALA ROAD","THE VISION SCHOOL SYSTEM","JAMIL COLONY KABIRWALA","THE VISION SCHOOL SYSTEM","`PUL VENOIE KABIR WALA ROAD"
"ALLIED SCHOOL","KHANEWAL ROAD","ALLIED SCHOOL","ABDUL HARIM","ALLIED SCHOOL","1 KM KABIRWALA ROAD","ALLIED SCHOOL","ABDUL HARIM","ALLIED SCHOOL","1 KM KABIRWALA ROAD","ALLIED SCHOOL KABIRWALA CAMPUS","KABIR WALA"
"SUN SHINE SCHOOL","KHANEWAL ROAD","SUNSHINE PUBLIC SCHOOL","KANAL ROAD KABIRWALA","THE KNOWLEDGE SCHOOL SUN BEAM SCHOOL","KUKAR HATTA ROAD KABIRWALA","RISE SCHOOL","NEAR MAKHDOOM PUR CHINGI","NFBE SCHOOL","NEAR PEER KHURSHID SHAH HUMDUM","RISE SCHOOL","NEAR MAKHDOOM PUR CHINGI"
"SUPERRIOR SCIENCE","KHANEWAL ROAD","RISE SCIENCE SCHOOL","NAHALEWALID MORR","ZAKARYA SCIENCE SCHOOL","MOOLA PUR MULTAN ROAD KABIR WALA","AYESHA SCHOOL OF SCIENCE","NAWAZ SHAHAER","RAFIQUE SCIENCE SCHOOL","PUL GAMON WALI BAQIR PUR","AYESHA SCHOOL OF SCIENCE","NAWAZ SHAHAER"
"AL HARAM SCHOOL","KHANEWAL ROAD","AL HARAM PUBLIC SCHOOL","P/O SARAI SIDHU","AL-HARAM SCHOOL SYSTEM","KUKKAR HATTA ROAD","DAR E ARQAM SCHOOL","GULSHAN E MEHAR ALI ABDUL HAKIM","DAR-E-ARQAM SCHOOL","CANAL ROAD KABIRWALA","DAR E ARQAM SCHOOL","GULSHAN E MEHAR ALI ABDUL HAKIM"
"DAR E ARQAM SCHOOL","KHANEWAL ROAD","DAR E ARQAM SCHOOL","GULSHAN E MEHAR ALI ABDUL HAKIM","DAR E ARQAM MODEL SCHOOL","IQBAL KALEEM ROAD SARAI SIDHU","DAR - E - ARQAM SCHOOL","CHOPER HATTA","DAR-E-ARQAM SCHOOL","CANAL ROAD KABIRWALA","GHOUSIA DAR E ARQAM MIDDLE SCHOOL","JHANG ROAD ADDA PULL -12 MEEL"
"KHALID BIN WALEED","KHANEWAL ROAD","SAAD BIN KHALIL","SADAR PUR ROAD NEAR KHALID FILLING STATION","KHALID -BIN -WALEED GIRLS HIGH SCHOOL","CANAL ROAD KABIR WALA","KHALID-BIN-WALEED HIGH SCHOOL","CANAL ROAD KABIR WALA","TARIQ BIN ZIAD MIDDLE SCHOOL","P/O KUKKAR HATTA","NON FORMAL BASIC EDUCATIONAL SCHOOL BHNI MIAN ABDUL KHALIK","PUL RANGO"
"IMPERIAL SCIENCE S","KHANEWAL ROAD","RISE SCIENCE SCHOOL","NAHALEWALID MORR","IQBAL SCIENCE SCHOOL ALLA ABAD","NEW BASTI ALA ABAD KHANEWAL ROAD","RAFIQUE SCIENCE SCHOOL","PUL GAMON WALI BAQIR PUR","ZAKARYA SCIENCE SCHOOL","MOOLA PUR MULTAN ROAD KABIR WALA","IBN -E - SINA SCIENCE SCHOOL","NEAR BASTI BANGLA"
"THE SCHOLOR SCHOOL","KHANEWAL ROAD","AL-HAMAD SCHOLAR SCHOOL","CHIRAGH BELA","RISE SCHOOL","NEAR MAKHDOOM PUR CHINGI","NFBE SCHOOL","NEAR PEER KHURSHID SHAH HUMDUM","RISE SCHOOL","NEAR MAKHDOOM PUR CHINGI","NFBE SCHOOL","NEAR PEER KHURSHID SHAH HUMDUM"
"ZIKRA PUBLIC SCHOOL","KHANEWAL ROAD","ZAKRIA PUBLIC SCHOOL","KUKKAR GATTA ROAD KABIR WALA STRT 36","NOOR PUBLIC SCHOOL","BASI HAVELI KORANGA TEH, KABIR WALA","CITY PUBLIC SCHOOL","NEAR SABZ MANDI JHANG ROAD","UMER PUBLIC SCHOOL","BASTI KUKHARI ABAD MOONGI","STAR PUBLIC SCHOOL","PULL HAVELI KORANAGA TEH , KABIR WALA"
"AL AZHAR SCHOOL","KHANEWAL ROAD","AZHAR PUBLIC SCHOOL","CHAK NO. 6 -D DARKHANA","AL-HAMAD SCHOLAR SCHOOL","CHIRAGH BELA","SCHOLAR SCHOOL SYSTEM","JHANG ROAD BASTI SYEDAN KABIR WALA","IQBAL GRAMMAR SCHOOL","ABDUL HAKIM","RISING STAR SCHOOL","V P/O MAANI SIAL TEH. KABIRWAL"
"CITY PUBLIC SCHOOL","PEOPLES COLONY","CITY PUBLIC SCHOOL(BOYS)","CHOWK BLOCK 12 KHANEWAL","DAIM PUBLIC SCHOOL","CHAK NO 41/10R JADEED","RAZI PUBLIC SCHOOL","NEAR DR. UMAR HOSPITAL","SHER PUBLIC SCHOOL","CHAK NO.61/10.R TEH AND DIST KWL","DAIM PUBLIC SCHOOL","CHAK NO 41/10R JADEED"
"CITY SCHOOL","KHANEWAL","CITY STANDARD SCHOOL","BLOCK NO.7 KHANEWAL","THE CITY SCHOOL KHANEWAL","CHAK NO 117 BHEROWAL RWP","LITERACY SCHOOL","CHAK NO 41/10R QADEEM","NCHD SCHOOL","CHAK NO 81/15L TEHSIL & DISTRICT KHANEWAL","CITY PUBLIC SCHOOL(BOYS)","CHOWK BLOCK 12 KHANEWAL"
"T.C.F SCHOOL","IRSHAD COLONY","NCHD SCHOOL","CHAK NO 81/15L TEHSIL & DISTRICT KHANEWAL","LITTLE  SCHOLARS SCHOOL","83/10.R TIBBA","GREAT SCHOOLS","CHAK NO 81-82 /10-R","TCF SCHOOL 42/10.R","CHAK NO 4/AH NORTH","YOUNG SCHOLARS SCHOOL & COLLEGE","BLOCK NO.12 SOUTH SIDE STREET#2"
"NEW CONCEPT SCHOOL","KHANEWAL","NEW CONCEPT SCHOOL KHANEWAL","1-W  PEOPLES COLONY KWL","GREAT SCHOOLS","CHAK NO 81-82 /10-R","NCHD SCHOOL","CHAK NO 81/15L TEHSIL & DISTRICT KHANEWAL","THE SMART SCHOOL","12 CIVIL LINES KWL","THE RIGHT SCHOOL","18 CIVIL LINES"
"THE HAWK SCHOOL","KHANEWAL","THE HAWK SCHOOL SYSTEM KHANEWAL","W-42 PEOPLES COLONY KHANEWAL","THE HEAVEN HOME SCHOOL","HAKIM ABAD","THE SMART SCHOOL","12 CIVIL LINES KWL","THE RIGHT SCHOOL","18 CIVIL LINES","THE HAWK HIGHER SECONDARY SCHOOL PEOPLES COLONY KHANEWAL","W.42 PEOPLES COLONY KHANEWAL"
"ALLIED SCHOOL","KHANEWAL","ALLIED SCHOOL KHANEWAL (BOYS)","53 X PEOPLES COLONY","ALLIED SCHOOL KHANEWAL (GIRLS)","53 X PEOPLES COLONY","NCHD SCHOOL","CHAK NO 81/15L TEHSIL & DISTRICT KHANEWAL","ALLIED SCHOOLS KHANEWAL CAMPUS (PRIMARY)","CIVIL LINE","SKY BIRD SCHOOL","42/10R NIAZI CHOWK"
"JINNAH GIRLS SCHOOL","KHANEWAL","MUSHTAQ GIRLS SCHOOL","BLOCK NO. 7, STREET NO. 6","MOON GIRLS PUBLIC SCHOOL","46/10-R KHANEWAL","JINNAH HIGH SCHOOL 80/10-R","CHAK NO 80/10-R PEROWAL","JINNAH PUBLIC MODEL SCHOOL","COL NO 3 NEAR MAKKY CHOWK","SULTAN MODEL GIRLS HIGH SCHOOL","STREET NO. 6 MAKHDUM PUR"
"THE SMART SCHOOL","KHANEWAL","THE SMART SCHOOL","12 CIVIL LINES KWL","THE RIGHT SCHOOL","18 CIVIL LINES","THE STAR PUBLIC SCHOOL","30/10R","GREAT SCHOOLS","CHAK NO 81-82 /10-R","NCHD SCHOOL","CHAK NO 81/15L TEHSIL & DISTRICT KHANEWAL"
"LAURATES SCHOOL SYST","KHANEWAL","RAYS SCHOOL SYSTEM","31B -CIVIL LINES KWL","LAURATE SCHOOL SYSTEM CIVIL LINE","6- CIVIL LINES KWL","MATCHLESS SCHOLARS SCHOOL SYSTEM","COLONY#1 STADIUM ROAD","LITTLE ECHOES SCHOOL SYSTEM","BLOCK NO.8","GLAXI  SCHOOL SYSTEM","CHAK NO18 AH  PAKI BHAINI"
"PUNJAB PUBLIC SCHOOL","KACHA KHOO","PUNJAB PUBLIC SCHOOL 79/10-R","CHAK NO 79/10-R","NAYAB PUBLIC SCHOOL","JASWANT NAGAR H NO 22","PUNJAB ISLAMIC PUBLIC SCHOOL","COLONY","PUNJAB PUBLIC SCHOOL KACHA KHUH","ARSHAD TOWN KACHA KHUH","PUNJAB PUBLIC SCIENCE HIGH SCHOOL","FAZAL PARK ROAD KWL"
"NEW SHAHEEN SCHOOL","168/10R","NEW SHAHEEN PUBLIC SCHOOL","CHAK NO. 168/10.R","SHAHEEN MODEL SCHOOL","MOHALLA USMAN TOWN","SHAHEEN SECONDARY SCHOOL KWL","77,79-X PEOPLE COLONY","SHAHEEN PUBLIC SCIENCE SCHOOL.","CHAK NO. 168/10.R","SHAHEEN PUBLIC SCHOOL,  PIROWAL","CHAK NO 80/10-R"
"YOUSAF IDEAL SCHOOL","168/10R","YOUSAF IDEAL PUBLIC SCHOOL, KHANEWAL","168/10.R KWL","MUSLIM IDEAL SCHOOL, KHANEWAL","COLONY NO 1 KHANEWAL","IDEAL PUBLIC SCHOOL","CANAL ROAD NEAR BRIDGE","REHMAN IDEAL PUBLIC SCHOOL 161-A/10R","161A/10 R TEHSIL DISTT KHANEWAL","RAHMAN IDEAL PUBLIC SCHOOL 161-A/10R","CHAK 161-A/10 R"
"MARRIYAM SCHOOL","UNILIVER KHANEWAL","NEW MARRIYAM PUBLIC SCHOOL 68/10.R","Chak No. 68/10.R","SUNBEAM SCHOOLS","CHAK NO 80/10R","SUNBEAM SCHOOLS","BLOCK NO .12 OPPOSIT GIRLS COLLEGE","SUNBEAM SCHOOLS","CHAK NO 80/10R","SUNBEAM SCHOOLS","BLOCK NO .12 OPPOSIT GIRLS COLLEGE"
"BRIGHT WAY SCHOOL","KHANEWAL","BRIGHT WAY PUBLIC SCHOOL","GIRLS COLLEGE ROAD AMNA PLAZA KWL","THE RIGHT SCHOOL","18 CIVIL LINES","BRIGHT FUTURE SCHOOL","NIAZI CHOWK","BRIGHTWAY PUBLIC HIGH SCHOOL","BLOCK NO 12 NEAR FAISAL BANK KHANEWAL","BRIGHT FUTURE HIGH SCHOOL","GHAREEBABAD OPP BLOCK NO.14"
"RABIA MODEL SCHOOL","PROFESSOR STREET MULTAN ROAD","ISLAMIA MODEL SCHOOL","ADDA HARI MINOR MAILSI","PILOT MODEL SCHOOL","P/O MITROO TEHSIL MAILSI","ISLAMIA MODEL  SCHOOL","TIBBA NAHAR HASSAN SHAH","TALHA MODEL SCHOOL MAILSI","BASTI SAKHI HASSAN MAILSI","UKASHA MODEL SCHOOL BUDHO","PO SARDAR PUR JHANDIR"
"ENGLISH PILET COLLEGE & PUBLIC SCHOOL","MODEL TOWN MAILSI","THE SCIENCE PUBLIC SCHOOL & COLLEGE","PEER SHAH ROAD","ALI PUBLIC SCHOOL","WARD NO. 3 TIBBA SULTAN PUR","ZISHAN PUBLIC SCHOOL","ARAIN WAHIN JALLA ROAD MAILSI","EJAZ PUBLIC SCHOOL","ADDA HARI CHAND MAILSI","AZAM PUBLIC SCHOOL","ABDULLAHABAD BASTI"
